feature,mean_percentile,min_percentile,mean_f,group
mfcc_delta2_18_std,0.6177944862155389,0.5639097744360902,10.968651382988066,MFCC
mfcc_delta2_19_mean,0.3145363408521303,0.2857142857142857,5.172759177459182,MFCC
mfcc_delta2_19_std,0.656641604010025,0.5413533834586466,12.177412115110627,MFCC
mfcc_delta2_20_mean,0.23558897243107768,0.16917293233082706,3.6333710977937863,MFCC
mfcc_delta2_20_std,0.5463659147869674,0.47368421052631576,9.569523008577773,MFCC
mfcc_delta2_21_mean,0.2593984962406015,0.24436090225563908,3.997359564063135,MFCC
mfcc_delta2_21_std,0.6165413533834586,0.4849624060150376,11.112759444001348,MFCC
mfcc_delta2_22_mean,0.14786967418546365,0.13157894736842105,2.3119623919839456,MFCC
mfcc_delta2_22_std,0.7130325814536341,0.6541353383458647,13.150675564512424,MFCC
mfcc_delta2_23_mean,0.16165413533834586,0.07518796992481203,2.709168053478549,MFCC
mfcc_delta2_23_std,0.6190476190476191,0.5338345864661654,11.472044296135872,MFCC
mfcc_delta2_24_mean,0.22932330827067668,0.16917293233082706,3.5224363089266606,MFCC
mfcc_delta2_24_std,0.6340852130325815,0.5112781954887218,12.127802952832782,MFCC
mfcc_delta2_25_mean,0.19423558897243107,0.10150375939849623,2.9258498459411997,MFCC
mfcc_delta2_25_std,0.7017543859649122,0.650375939849624,13.161098360541892,MFCC
mfcc_delta2_26_mean,0.2330827067669173,0.16917293233082706,3.4537088416302564,MFCC
mfcc_delta2_26_std,0.7456140350877193,0.6842105263157895,14.924776976679668,MFCC
mfcc_delta2_27_mean,0.5075187969924811,0.38721804511278196,7.991537523039713,MFCC
mfcc_delta2_27_std,0.6829573934837093,0.6203007518796992,12.700643633386187,MFCC
mfcc_delta2_28_mean,0.11278195488721804,0.018796992481203006,2.007997298662906,MFCC
mfcc_delta2_28_std,0.6892230576441102,0.6466165413533834,12.954796417591309,MFCC
mfcc_delta2_29_mean,0.10150375939849625,0.0037593984962406013,1.7786762212934433,MFCC
mfcc_delta2_29_std,0.6215538847117794,0.5413533834586466,12.293099395323026,MFCC
mfcc_delta2_30_mean,0.11904761904761903,0.05263157894736842,2.0051283985007573,MFCC
mfcc_delta2_30_std,0.8095238095238096,0.7556390977443609,16.42744079091788,MFCC
mfcc_delta2_31_mean,0.2092731829573935,0.10902255639097744,3.0879778052102016,MFCC
mfcc_delta2_31_std,0.7631578947368421,0.7443609022556391,15.181966770718278,MFCC
mfcc_delta2_32_mean,0.20676691729323307,0.03759398496240601,3.5296855883187868,MFCC
mfcc_delta2_32_std,0.837092731829574,0.7481203007518797,17.76365834392629,MFCC
mfcc_delta2_33_mean,0.14786967418546365,0.05639097744360902,2.3136171324137624,MFCC
mfcc_delta2_33_std,0.8132832080200502,0.7030075187969925,17.08718865011514,MFCC
mfcc_delta2_34_mean,0.24812030075187966,0.14661654135338345,3.8819547888616164,MFCC
mfcc_delta2_34_std,0.7869674185463659,0.7180451127819549,15.585020518423072,MFCC
mfcc_delta2_35_mean,0.14411027568922305,0.10150375939849623,2.274238420216576,MFCC
mfcc_delta2_35_std,0.7142857142857143,0.5150375939849624,14.61121586971151,MFCC
mfcc_delta2_36_mean,0.07894736842105263,0.05639097744360902,1.5729024170550991,MFCC
mfcc_delta2_36_std,0.7418546365914787,0.5338345864661654,15.522413833467645,MFCC
mfcc_delta2_37_mean,0.11403508771929823,0.06015037593984962,1.935308383149584,MFCC
mfcc_delta2_37_std,0.6641604010025063,0.4473684210526316,13.235790732508931,MFCC
mfcc_delta2_38_mean,0.06892230576441102,0.0037593984962406013,1.4404243384757651,MFCC
mfcc_delta2_38_std,0.6553884711779449,0.40977443609022557,13.63982385228204,MFCC
mfcc_delta2_39_mean,0.2493734335839599,0.18796992481203006,3.8909660011229708,MFCC
mfcc_delta2_39_std,0.7418546365914787,0.5789473684210527,15.12606487943325,MFCC
mfcc_delta2_40_mean,0.07393483709273183,0.007518796992481203,1.4714424909411292,MFCC
mfcc_delta2_40_std,0.6942355889724311,0.4924812030075188,14.148488306533663,MFCC
mfcc_delta_01_mean,0.8884711779448621,0.793233082706767,24.957444406923468,MFCC
mfcc_delta_01_std,0.3182957393483709,0.18045112781954886,5.377739733162314,MFCC
mfcc_delta_02_mean,0.8170426065162907,0.6616541353383458,18.63264306948745,MFCC
mfcc_delta_02_std,0.38095238095238093,0.31203007518796994,6.403706394808864,MFCC
mfcc_delta_03_mean,0.4348370927318295,0.3157894736842105,6.797875951314752,MFCC
mfcc_delta_03_std,0.5037593984962406,0.2631578947368421,8.646714251501727,MFCC
mfcc_delta_04_mean,0.4022556390977443,0.2744360902255639,5.863001381282285,MFCC
mfcc_delta_04_std,0.6854636591478697,0.49624060150375937,13.770844053654322,MFCC
mfcc_delta_05_mean,0.20802005012531324,0.20300751879699247,2.972063386266562,MFCC
mfcc_delta_05_std,0.8884711779448621,0.7330827067669173,27.489602356842187,MFCC
mfcc_delta_06_mean,0.2794486215538847,0.18796992481203006,4.416837049235638,MFCC
mfcc_delta_06_std,0.87468671679198,0.7180451127819549,24.51138282521589,MFCC
mfcc_delta_07_mean,0.20551378446115287,0.10526315789473684,3.1554777311495243,MFCC
