feature,group,anova_f,p_value
mfcc_delta_20_mean,MFCC,2.981086668369832,0.0006566868531577122
mfcc_delta_20_std,MFCC,20.42029732633997,1.5889386252490927e-37
mfcc_delta_21_mean,MFCC,4.279762806904345,2.9864296158729728e-06
mfcc_delta_21_std,MFCC,22.09360892499324,1.24336309626522e-40
mfcc_delta_22_mean,MFCC,3.4179652290843197,0.0001123710532139517
mfcc_delta_22_std,MFCC,24.045861876571088,3.293123945496203e-44
mfcc_delta_23_mean,MFCC,2.575668398223914,0.0031701753976170447
mfcc_delta_23_std,MFCC,24.934723576096598,8.05261365730983e-46
mfcc_delta_24_mean,MFCC,1.5248983806952636,0.11680213531637831
mfcc_delta_24_std,MFCC,25.505032877793962,7.541019332968609e-47
mfcc_delta_25_mean,MFCC,3.2827197186573964,0.00019534961388416864
mfcc_delta_25_std,MFCC,27.626133526030955,1.2309022902734236e-50
mfcc_delta_26_mean,MFCC,2.2237383165525624,0.011633256064024882
mfcc_delta_26_std,MFCC,33.839508289975775,2.1599761860265672e-61
mfcc_delta_27_mean,MFCC,4.913376220265142,1.9080885743489865e-07
mfcc_delta_27_std,MFCC,25.98408860012843,1.0395585416936223e-47
mfcc_delta_28_mean,MFCC,4.1337091556253815,5.581747142464735e-06
mfcc_delta_28_std,MFCC,26.636007548717586,7.089999364005802e-49
mfcc_delta_29_mean,MFCC,1.8527150709957236,0.04185298269668878
mfcc_delta_29_std,MFCC,25.858423454667033,1.7470246444968951e-47
mfcc_delta_30_mean,MFCC,1.2422818302413259,0.2539697414971017
mfcc_delta_30_std,MFCC,31.88045446515867,4.7013924425598225e-58
mfcc_delta_31_mean,MFCC,3.622725876103764,4.8182995748839605e-05
mfcc_delta_31_std,MFCC,28.69104017440228,1.626622610349202e-52
mfcc_delta_32_mean,MFCC,1.5353678464641207,0.11324804528458302
mfcc_delta_32_std,MFCC,28.915244541665597,6.570448457959671e-53
mfcc_delta_33_mean,MFCC,3.5140450491276476,7.562826512966651e-05
mfcc_delta_33_std,MFCC,25.882094957908336,1.5842181238251888e-47
mfcc_delta_34_mean,MFCC,2.5818591424915356,0.00309661015986631
mfcc_delta_34_std,MFCC,31.82975096827375,5.744589093815231e-58
mfcc_delta_35_mean,MFCC,3.8441156284962115,1.906565007194248e-05
mfcc_delta_35_std,MFCC,29.17790143658788,2.276244138042678e-53
mfcc_delta_36_mean,MFCC,3.257527909163566,0.00021641376436637685
mfcc_delta_36_std,MFCC,30.209201525482946,3.616456048770378e-55
mfcc_delta_37_mean,MFCC,4.239048304412102,3.556551830624106e-06
mfcc_delta_37_std,MFCC,27.863637741514424,4.6759965815209256e-51
mfcc_delta_38_mean,MFCC,2.350197094866678,0.007352455187435833
mfcc_delta_38_std,MFCC,24.573998224843063,3.620117342086148e-45
mfcc_delta_39_mean,MFCC,2.786019668725696,0.0014131233540899781
mfcc_delta_39_std,MFCC,22.649009824571017,1.1796928180628126e-41
mfcc_delta_40_mean,MFCC,1.3981135250394825,0.16788553677487172
mfcc_delta_40_std,MFCC,20.183582982039127,4.401255382642e-37
mfcc_delta2_01_mean,MFCC,10.28870464257118,5.488271319485617e-18
mfcc_delta2_01_std,MFCC,6.0223334296024,1.3957347500322602e-09
mfcc_delta2_02_mean,MFCC,12.049657240842635,1.8591136521596945e-21
mfcc_delta2_02_std,MFCC,7.24398894908025,5.670845054484857e-12
mfcc_delta2_03_mean,MFCC,21.221217977690795,5.123122126413526e-39
mfcc_delta2_03_std,MFCC,11.111011388032129,1.308134821383822e-19
mfcc_delta2_04_mean,MFCC,22.777042603317586,6.863880495488708e-42
mfcc_delta2_04_std,MFCC,22.35974376295185,4.017601222431028e-41
mfcc_delta2_05_mean,MFCC,14.160828694933107,1.385106922022346e-25
mfcc_delta2_05_std,MFCC,47.31251036330559,4.210845133967156e-83
mfcc_delta2_06_mean,MFCC,10.118881076494366,1.1883756248739733e-17
mfcc_delta2_06_std,MFCC,43.8246147990939,1.110884620268631e-77
mfcc_delta2_07_mean,MFCC,2.2467367839384025,0.01071001701570014
mfcc_delta2_07_std,MFCC,40.89799454046804,4.998122828389728e-73
mfcc_delta2_08_mean,MFCC,4.0843014523799575,6.891026430538909e-06
mfcc_delta2_08_std,MFCC,35.704833247647905,1.5883594638220173e-64
mfcc_delta2_09_mean,MFCC,25.46992562692524,8.722030090282244e-47
mfcc_delta2_09_std,MFCC,39.0165965474039,5.5214216577543755e-70
mfcc_delta2_10_mean,MFCC,11.817462675458389,5.3173956305563845e-21
mfcc_delta2_10_std,MFCC,39.194343426283936,2.8363928086362664e-70
mfcc_delta2_11_mean,MFCC,37.305746786971625,3.5126869946154245e-67
mfcc_delta2_11_std,MFCC,40.09899772788003,9.686774034154182e-72
mfcc_delta2_12_mean,MFCC,13.656691337903307,1.3282543077517743e-24
mfcc_delta2_12_std,MFCC,39.95482283886529,1.6567937931125286e-71
mfcc_delta2_13_mean,MFCC,18.44251265502976,8.329999622439326e-34
mfcc_delta2_13_std,MFCC,35.148211642312134,1.3536276843926408e-63
mfcc_delta2_14_mean,MFCC,4.242029547065727,3.5113757025430723e-06
mfcc_delta2_14_std,MFCC,35.95706003555323,6.032969782093149e-65
mfcc_delta2_15_mean,MFCC,4.601574446005331,7.437811857320945e-07
mfcc_delta2_15_std,MFCC,26.330983018353002,2.4865292874088727e-48
mfcc_delta2_16_mean,MFCC,8.156971434576016,8.985249005292996e-14
mfcc_delta2_16_std,MFCC,25.090056298993506,4.2206161726749654e-46
mfcc_delta2_17_mean,MFCC,10.909891088665884,3.260081717300802e-19
mfcc_delta2_17_std,MFCC,24.342709196711404,9.51023696759516e-45
mfcc_delta2_18_mean,MFCC,5.382071574069333,2.4184436787614648e-08
mfcc_delta2_18_std,MFCC,25.443572196450546,9.728825759594843e-47
mfcc_delta2_19_mean,MFCC,13.222906323124402,9.33526857911733e-24
mfcc_delta2_19_std,MFCC,30.36109922247376,1.9701002477587645e-55
mfcc_delta2_20_mean,MFCC,9.454507856570565,2.4453192663861507e-16
mfcc_delta2_20_std,MFCC,22.095843146559755,1.2316154805370103e-40
mfcc_delta2_21_mean,MFCC,9.623165124354513,1.1345768567306684e-16
